,warehouse,date,holiday,shops_closed,winter_school_holidays,school_holidays,id,orders,year,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_num_week_0,day_num_week_1,day_num_week_2,day_num_week_3,day_num_week_4,day_num_week_5,day_num_week_6,holiday_name_1848 Revolution Memorial Day (Extra holiday),holiday_name_2nd Christmas Day,holiday_name_All Saints' Day Holiday,holiday_name_Christmas Eve,holiday_name_Cyrila a Metodej,holiday_name_Day of National Unity,holiday_name_Den boje za svobodu a demokracii,holiday_name_Den ceske statnosti,holiday_name_Den osvobozeni,holiday_name_Den vzniku samostatneho ceskoslovenskeho statu,holiday_name_Easter Monday,holiday_name_Good Friday,holiday_name_Independent Hungary Day,holiday_name_International womens day,holiday_name_Jan Hus,holiday_name_Labour Day,holiday_name_Memorial Day for the Martyrs of Arad,holiday_name_Memorial Day for the Victims of the Communist Dictatorships,holiday_name_Memorial Day for the Victims of the Holocaust,holiday_name_Memorial Day of the Republic,holiday_name_National Defense Day,holiday_name_New Years Day,holiday_name_Peace Festival in Augsburg,holiday_name_Reformation Day,IS_OUTLIER
381,Prague_1,2021-12-22,0,0,0,0,Prague_1_2021-12-22,11041.0,2021,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
493,Prague_1,2022-04-14,0,0,0,0,Prague_1_2022-04-14,10885.0,2022,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
744,Prague_1,2022-12-21,0,0,0,0,Prague_1_2022-12-21,10968.0,2022,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
745,Prague_1,2022-12-22,0,0,0,0,Prague_1_2022-12-22,12661.0,2022,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
746,Prague_1,2022-12-23,0,0,0,0,Prague_1_2022-12-23,13028.0,2022,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
752,Prague_1,2022-12-30,0,0,0,0,Prague_1_2022-12-30,11065.0,2022,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
849,Prague_1,2023-04-06,0,0,0,0,Prague_1_2023-04-06,11932.0,2023,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1067,Prague_1,2023-11-10,0,0,0,0,Prague_1_2023-11-10,11566.0,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1073,Prague_1,2023-11-16,0,0,0,0,Prague_1_2023-11-16,10897.0,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1081,Prague_1,2023-11-24,0,0,0,0,Prague_1_2023-11-24,10922.0,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1088,Prague_1,2023-12-01,0,0,0,0,Prague_1_2023-12-01,11558.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1092,Prague_1,2023-12-05,0,0,0,0,Prague_1_2023-12-05,11005.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1095,Prague_1,2023-12-08,0,0,0,0,Prague_1_2023-12-08,11892.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1102,Prague_1,2023-12-15,0,0,0,0,Prague_1_2023-12-15,12079.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1103,Prague_1,2023-12-16,0,0,0,0,Prague_1_2023-12-16,11030.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1106,Prague_1,2023-12-19,0,0,0,0,Prague_1_2023-12-19,10927.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1107,Prague_1,2023-12-20,0,0,0,0,Prague_1_2023-12-20,11257.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1108,Prague_1,2023-12-21,0,0,0,0,Prague_1_2023-12-21,12744.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1109,Prague_1,2023-12-22,0,0,0,0,Prague_1_2023-12-22,17282.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1110,Prague_1,2023-12-23,0,0,0,0,Prague_1_2023-12-23,18139.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1116,Prague_1,2023-12-30,0,0,0,0,Prague_1_2023-12-30,12090.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1122,Prague_1,2024-01-05,0,0,0,0,Prague_1_2024-01-05,11160.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1129,Prague_1,2024-01-12,0,0,0,0,Prague_1_2024-01-12,12054.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1130,Prague_1,2024-01-13,0,0,0,0,Prague_1_2024-01-13,10976.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1136,Prague_1,2024-01-19,0,0,0,0,Prague_1_2024-01-19,12319.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1137,Prague_1,2024-01-20,0,0,0,0,Prague_1_2024-01-20,10968.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1143,Prague_1,2024-01-26,0,0,0,0,Prague_1_2024-01-26,12202.0,2024,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1150,Prague_1,2024-02-02,0,0,0,0,Prague_1_2024-02-02,11935.0,2024,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1157,Prague_1,2024-02-09,0,0,0,0,Prague_1_2024-02-09,12193.0,2024,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1164,Prague_1,2024-02-16,0,0,1,0,Prague_1_2024-02-16,11095.0,2024,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1171,Prague_1,2024-02-23,0,0,1,0,Prague_1_2024-02-23,11400.0,2024,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1178,Prague_1,2024-03-01,0,0,0,0,Prague_1_2024-03-01,11683.0,2024,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1185,Prague_1,2024-03-08,0,0,0,0,Prague_1_2024-03-08,11917.0,2024,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
1192,Prague_1,2024-03-15,0,0,0,0,Prague_1_2024-03-15,11917.0,2024,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2301,Brno_1,2023-12-21,0,0,0,0,Brno_1_2023-12-21,11165.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2302,Brno_1,2023-12-22,0,0,0,0,Brno_1_2023-12-22,11368.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2303,Brno_1,2023-12-23,0,0,0,0,Brno_1_2023-12-23,11741.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2309,Brno_1,2023-12-30,0,0,0,0,Brno_1_2023-12-30,11122.0,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
0,Prague_1,2020-12-05,0,0,0,0,Prague_1_2020-12-05,6895.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,Prague_1,2020-12-06,0,0,0,0,Prague_1_2020-12-06,6584.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2,Prague_1,2020-12-07,0,0,0,0,Prague_1_2020-12-07,7030.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3,Prague_1,2020-12-08,0,0,0,0,Prague_1_2020-12-08,6550.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4,Prague_1,2020-12-09,0,0,0,0,Prague_1_2020-12-09,6910.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5,Prague_1,2020-12-10,0,0,0,0,Prague_1_2020-12-10,7228.0,2020,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
